cntry,cntry.code,DHSyear,income,WBregion,tfr10t20,access,privsect,cbdistr,socmarkt,homevst,logtrans,primwom,secwom,educyrsmn,WRPcath2010,WRPisl2010,WRPcathisl2010 ,ardacath2020 ,ardamusl2020 ,ardacathmusl2020,imr2020,npwb50,threegentotal,meanmem,quality,anycontr,modcontr,tradcontr,nocontr
Cambodia,KHM,2014,LMI,EAP,2.622636364,54,70,54.4,52.2,43.3,68.9,8,3.8,5.56,0.05,1.92,1.97,0.15,1.87,2.02,22.04502,0.0462,26.1,4.6,62.00617284,38.5,26.6,11.9,61.5
Indonesia,IDN,2017,LMI,EAP,2.382727273,51.9,64.6,51.5,51.5,46.5,41.4,19.7,25.8,9.69,3,83.99,86.99,2.96,79.12,82.08,19.5476,0.0448,20.1,3.9,38.5,46,41.4,4.6,54
Lao PDR,LAO,2017,LMI,EAP,2.823818182,,,,,,,,,,0.45,1,1.45,0.64,0.12,0.76,35.33814,0.0451,,,55.52843247,,,,
Myanmar,MMR,2015-16,LMI,EAP,2.215,39.7,66.7,32.5,47.9,29.1,33.3,18,4.2,6,1.37,4.17,5.54,1.21,3.76,4.97,35.03594,0.0292,23,4.2,57.47615039,31.6,31.1,0.6,68.4
Papua New Guinea,PNG,2016-18,LMI,EAP,3.716818182,39.8,70.9,22.5,33.9,9,24.3,11.4,3.8,5.7,27,0.03,27.03,25.71,0.03,25.74,35.23083,0.0485,16.9,5,67.71345938,26.8,22.3,4.5,73.2
Philippines,PHL,2017,LMI,EAP,2.816727273,43.1,69.8,57.3,57.3,53.7,44.4,6.9,26.4,10.95,83.03,5.55,88.58,75.74,5.54,81.28,20.94585,0.0411,18.1,4.2,61.1181257,33.6,24.9,8.7,66.4
TimorLeste,TLS,2016,LMI,EAP,4.263727273,35.7,57.8,15.6,9.9,27.8,28.9,6.5,19.8,7.72,,,0,81.7,3.59,85.29,36.51501,0.0486,19.9,5.3,42.37093154,16.1,14.8,1.3,83.9
Albania,ALB,2017-18,UMI,ECA,1.651181818,,,,,,,35.4,17.9,12.8,13.13,63,76.13,17.9,59.3,77.2,8.75843,0.0503,18,3.3,,33.2,2.8,30.4,66.8
Armenia,ARM,2015-16,UMI,ECA,1.739636364,39.2,41.1,22.2,16,12.3,15.6,0,36.2,11.9,0,0.03,0.03,8.44,0.22,8.66,9.74308,0.0501,29.8,3.5,74.69135802,36.7,18.1,18.6,63.3
Kyrgyz Republic,KGZ,2012,LMI,ECA,3.145454545,50.6,46,64.3,29.4,61.1,50,0.1,38,11.8,0,77.02,77.02,0.01,87.18,87.19,15.66933,0.049,25.4,4.2,60.83519665,24.4,22.7,1.7,75.6
Tajikistan,TJK,2017,LMI,ECA,3.595818182,73.9,21.3,77.8,18.5,64.8,63,1.9,39.5,10.2,0,90,90,0,97.45,97.45,28.35318,0.0483,44.6,6,84.45767196,21.3,19.7,1.6,78.7
Turkiye,TUR,2013,UMI,ECA,2.097909091,43.8,38.2,23.8,8.1,20.1,42.1,31.7,14.1,7.75,0.05,98.58,98.63,0.05,98.41,98.46,8.12869,0.032,9.4,3.6,55.9,51,33.2,17.8,49
Colombia,COL,2015,UMI,LAC,1.869636364,,,,,,,8.5,24.5,9.85,82,0.06,82.06,86.08,0.05,86.13,11.35087,0.0391,18,3.5,59.71053124,64.9,61.4,3.5,35.1
Dominican Republic,DOM,2013,UMI,LAC,2.403181818,51.4,65.1,39.3,40.5,23.8,47.6,8.1,18.1,10.2,72,0,72,81.11,0.02,81.13,27.86701,0.0425,11.4,3.5,62.41767492,55.1,52.6,2.5,44.9
Guatemala,GTM,2014-15,UMI,LAC,3.046909091,40.7,58.3,30.6,38.9,23.1,20.4,17.3,9.1,6.11,55,0.01,55.01,67.82,0.01,67.83,20.0554,0.0425,22.5,4.8,50.22727273,39.4,32.2,7.2,60.6
Haiti,HTI,2016-17,LMI,LAC,3.112909091,48.6,60,60,54.3,45.6,37.8,8.8,4.2,6.73,72,0.02,72.02,66.65,0.02,66.67,46.65528,0.0424,17.9,4.3,58.54166667,24.1,22.3,1.8,75.9
Honduras,HND,2011-12,LMI,LAC,2.619909091,52.7,57.6,57.6,52.5,45.4,52.8,27.1,12.8,7.45,57,0,57,68.65,0.15,68.8,13.94446,0.0427,20.7,4.4,67.66975309,48.8,42.9,5.9,51.1
Peru,PER,2012,UMI,LAC,2.347545455,44.2,47.8,19.6,38.1,24.2,38.1,8.7,26.5,9.72,81.3,0.02,81.32,85.53,0,85.53,9.95127,0.003,15.3,3.7,59.26166426,51.5,36.1,15.4,48.5
Egypt Arab Rep,EGY,2015,LMI,MENA,3.349181818,47.2,39.7,41.9,53,73,59.6,4.1,38.5,8.07,0.12,86.43,86.55,0.27,90.06,90.33,16.646,0.0408,7.5,4.1,62.89001122,58.5,56.9,1.6,41.5
Jordan,JOR,2017-18,UMI,MENA,3.098909091,59.7,54,66.7,70.1,47.6,74.4,3.4,17,11.6,0.5,97,97.5,0.28,95.35,95.63,12.92279,0.0434,5.4,4.7,76.69312169,51.8,37.4,14.4,48.2
