cntry.code,y1989,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020
ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5664
AFG,5174,1478,3302,4276,4071,8937,5499,3177,6396,6256,4629,5235,5055,890,687,715,1595,4750,6906,5552,6341,6864,7403,7721,8056,12284,17273,17978,19014,25676,29940,20473
AFW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2802,3449,4264
AGO,2810,2558,516,2346,12054,3974,187,29,51,1066,2272,943,1123,521,25,25,,,25,,25,,,,,,,25,25,,25,21
ALB,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,
AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARB,,,,,,,,,,,,,,,,,,,,,,,,,,81200,71350,60440,37510,22346,,11090
ARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARG,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM,,,,85,37,30,,,,,,,,,,,1,,,,,,,9,,,9,4,,,,10
ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
AUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZE,,,35,2082,1194,1477,44,,29,34,,,,,,,24,,,30,,,,16,,46,63,137,36,,,7623
BDI,,,272,61,,56,254,531,639,621,524,1348,1182,1170,972,387,286,141,,201,,,,,,60,181,,,,16,63
BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,3,,
BEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,349,509
BGD,26,45,25,,,,,,,,,,,,,,62,57,,,,,,,,,,41,47,,,2
BGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIH,,,,16482,5456,2828,1345,,,,,,,,,,,,,,,,,,,,,,,,,
BLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTN,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
BWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAF,,,,,,,,,,,,,195,131,,,,46,,,88,47,48,45,415,17,,,,55,51,57
CAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,,,,,,,,,,,,,,,,,,,,36,2,,,,,,5,,,,,
CIV,,8,,,,,,,,,,,,624,139,47,,,,,,,98,,,,,,,,,
CMR,,,,,,,,56,,,,,,,,,,,,,,,,,,969,924,181,98,749,693,429
COD,,,,,,0,,1389,4591,3356,3282,1473,486,76,,,34,177,632,767,1978,300,283,806,1531,993,197,765,3632,821,764,1149
COG,,,,,53,,,,10000,3272,626,,,167,,,,,,,,,,,,,,51,,,0,0
COL,238,501,725,1479,182,1123,823,1192,560,939,1374,1078,1864,2263,730,1234,1389,502,314,219,377,419,202,211,140,119,134,30,,147,132,28
COM,29,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,
CPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DJI,6,60,59,129,33,39,,,,,25,,,,,,,,,35,,,,,,,,,,,,
DMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
