cntry.code,y1985,y1986,y1987,y1988,y1989,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018
ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,,,,,,,,,,,,,,,,,,,,,,,,,,700,,,,,,1194,,
AFW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281,,
ALB,,,32,35,42,,,,,,13,13,10,14,4,16,4,9,2,2,15,,,,,,,,,,,,,
AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARE,,,,,,,,,,,,,,,,,,,,,0,1,1,1,2,,,,,,,,,
ARG,55,52,45,45,47,49,45,44,42,35,40,44,36,36,39,34,41,44,42,40,38,44,41,39,54,43,40,33,32,,38,32,,
ARM,22,29,39,194,33,43,24,13,26,26,32,21,38,24,30,45,18,8,20,24,17,23,14,36,27,9,16,18,20,21,16,28,7,
ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,,,,,,,,,,,,,10,,,7,,,6,,,5,,,,,4,8,9,,3,,,
AUT,7,7,5,6,8,7,8,4,4,9,1,5,2,5,1,,4,6,9,3,6,9,4,3,3,1,3,1,1,8,5,6,1,
AZE,38,28,33,19,25,8,10,18,31,38,30,34,25,34,35,31,20,16,15,25,30,36,37,26,23,16,16,15,14,14,13,13,12,
BDI,,,,,,,,,,,,,,,,,,,,,,,,,,785,,,,,,,580,
BEL,6,3,3,3,7,3,4,6,5,6,9,5,9,10,5,4,11,3,6,1,3,7,6,6,5,6,6,4,2,5,3,,,
BEN,,,,,,,,317,,,,693,,,,,,,,,,541,,,,,,,,512,,,,
BFA,,,,,,,,,,,,,,,570,,,,,,,334,,,,452,,,,,,,,
BGD,,,,,,,,,,,,,,,,,432,,,,,,,,,,316,,,,,,215,
BGR,12,25,20,10,19,21,10,20,14,12,13,19,17,15,24,20,20,16,6,10,11,5,11,5,4,8,3,4,10,7,,,,
BHR,14,,7,0,,,,,,,,,14,14,21,13,20,19,19,18,0,0,16,16,16,5,10,10,19,9,,,,
BHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIH,34,27,21,19,25,9,23,,,,,,,,,,,,,,,,,,,,6,,,0,,,,
BLR,17,21,24,26,25,21,30,21,20,19,13,21,24,28,21,23,15,19,20,,,,7,3,1,1,1,,0,1,,,,
BLZ,,62,15,,45,45,59,,,,14,0,42,126,28,68,40,80,13,40,133,40,27,27,53,53,0,26,0,0,0,13,,
BMU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,,,,,,,,,,363,,,,,,,,,316,,,,,396,,,,176,,,,,,
BRA,48,47,50,46,44,44,41,41,44,45,44,193,101,109,113,98,67,72,77,74,78,71,79,78,72,69,66,60,58,61,64,63,62,59
BRB,,23,0,24,166,72,48,73,25,50,0,,,,,26,0,54,54,27,0,28,0,58,0,0,62,31,32,,,,,
BRN,,,,,,,,,,,,13,26,39,0,26,40,40,41,14,14,29,15,0,15,15,0,29,14,0,30,0,,
BTN,,,,,,,,,,605,,,,,,240,,,,,482,,,,,,325,,,,,,,
BWA,,,,,,,,,,,,,,,,,,,,,,173,154,202,215,209,179,208,163,201,140,167,172,158
CAF,,,,,,,,,,1284,,,,,,,,,,,,,,,,,,,,,,,,
CAN,4,3,4,,,,,,4,4,5,5,5,4,2,3,8,4,7,6,8,7,7,9,8,6,4,5,6,5,6,,,
CEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHE,5,4,6,10,4,6,1,5,6,4,9,4,4,4,8,7,1,4,5,5,5,8,1,10,4,4,4,7,2,4,7,,,
CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHL,47,45,47,42,42,41,35,31,34,25,30,23,22,21,23,19,18,17,13,17,18,19,17,15,20,,18,15,17,16,15,16,10,
CHN,,,,,,,98,,,,,68,,70,,65,58,55,48,56,53,52,45,40,38,35,33,29,27,,,,,
CIV,,,,,,,,,,729,,,,,,,,,,,605,,,,,,,751,,,,,,
CMR,,,,,,,,,,,,,,863,,,,,,778,,,,,,,782,,,,,,,
COD,,,,,,,,,,,,,,,,,,,,,,,445,,,,,,,740,,,,
COG,,,,,,,,,,,,,,,,,,,,,928,,,,,,457,,,,605,,,
COL,96,71,74,66,63,60,55,50,51,49,45,47,46,74,74,84,77,,61,63,60,61,60,53,60,58,58,57,48,47,47,44,44,
COM,,,,,,,,,,,,,,,,,,,,,,,,,,,,352,,,,,,
CPV,,,,,,,,,,,,,,,,93,43,9,35,44,18,45,18,18,63,45,45,9,36,9,46,19,47,
CRI,36,35,19,18,28,14,33,21,17,36,19,28,35,18,19,37,32,35,,38,30,38,39,20,35,28,26,30,14,29,,,,24
CSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUB,48,49,49,41,39,45,47,43,35,53,45,33,39,39,45,40,33,42,40,37,48,43,28,45,49,44,43,33,39,35,43,41,38,
CUW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYP,,,,,,,,,,,,,,,,,,,,0,0,8,0,8,0,8,0,0,8,16,0,0,,
CZE,,15,9,10,9,9,14,10,12,6,2,5,2,6,7,6,3,3,4,4,3,8,3,6,3,3,2,5,1,4,2,1,,
DEU,,,,,,10,9,7,6,5,5,7,6,6,5,6,4,3,4,5,4,5,4,5,5,5,5,4,4,4,3,,,
DJI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNK,,,,,,,,,,,10,6,7,3,6,0,3,,,,,,3,6,6,0,3,0,2,3,0,,,
DOM,,,,,,,,,,,,,,,,122,55,55,76,71,80,95,84,76,96,110,95,95,90,93,,94,,97
DZA,,,,,,,,,,,,,,,,204,,,,,,,,,,,,,,,,,,
EAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECU,135,110,118,109,112,100,102,108,110,75,53,60,50,46,64,72,58,46,43,40,45,42,55,,66,82,80,96,81,61,66,62,50,57
EGY,,,64,,,,39,38,138,,,,,,,27,28,35,38,29,30,31,28,21,26,23,23,21,19,19,15,,,
EMU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERI,,,,,,,,,,,1763,,,,,,,,1037,,,,,,,758,,,,,,,,
ESP,4,5,5,5,3,5,3,5,3,3,3,3,2,2,4,4,4,3,4,5,4,3,3,5,3,4,3,2,4,2,4,4,,
EST,46,29,42,26,45,34,31,22,30,52,49,0,15,16,16,39,8,8,29,28,14,7,0,0,0,7,7,7,7,0,0,14,,
ETH,,,,,,,,,,,,,,,,804,,,,,710,,1184,,,,861,,,,,557,,
EUU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIN,6,6,,,,,,,,,2,3,5,5,3,5,5,5,3,12,5,7,2,8,2,5,0,3,2,5,4,6,8,
FJI,,,,,,,,,,,,,,,5,,30,15,31,0,47,37,37,21,21,29,21,42,66,,,,,
FRA,12,11,9,9,9,11,12,13,9,11,10,13,9,,,,11,9,12,9,9,8,9,12,9,9,11,9,5,5,4,,,
FRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAB,,,,,,,,,,,,,,,,509,,,,,,,,,,,,368,,,,,,
GBR,,,,9,,,9,,,10,,,9,,,10,,,11,,,11,,,11,,,10,9,8,8,8,,
GEO,22,19,16,19,53,20,7,1,,1,24,13,21,20,14,7,8,,,41,17,,4,,57,,,,28,31,,36,24,14
GHA,,,,,,,,,,,,,,,,,,,,,,,516,,,284,,,,,,,334,
GIB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIN,,,,,,,,,,,,,,,704,,,,,,1201,,,,,,,756,,,,833,,
GMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,595,,,,,
GNB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898,,,,
GNQ,,,,,,,,,,,,,,,,,,,,,,,,,,,380,,,,,,,
GRC,6,8,3,5,4,1,3,6,1,2,0,4,0,7,6,0,4,1,2,3,0,3,2,0,4,6,4,1,0,4,6,,,
GRD,63,,,33,0,0,0,0,84,44,0,0,,,,,0,54,0,0,0,0,0,0,0,0,0,107,53,0,0,107,0,
GRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTM,,99,94,91,,90,95,104,94,96,91,,181,173,76,,67,67,69,71,86,72,,80,83,87,76,85,,68,71,71,112,107
GUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUY,,,,60,79,108,61,52,85,147,167,125,102,119,86,,90,109,118,110,142,121,123,99,56,126,88,88,57,101,,,,
HIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HKG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HND,,,,,,,164,,,,,,,90,,,134,,,,,,,,,,76,,62,71,,,,
HPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HRV,5,10,5,2,4,11,8,4,10,10,12,2,10,6,11,7,2,9,7,7,7,9,14,7,14,9,9,7,5,3,3,3,,
HTI,,,,,,,,,,,,,,,,378,,,,,,531,,,,,,,,,,,732,
HUN,27,15,14,17,15,21,13,10,19,10,15,11,20,6,4,10,5,8,7,4,5,8,8,18,18,15,10,10,14,7,6,12,,
IBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDN,,,,,,,,,,410,,,,,,,,,339,,,,206,,,,,282,,,,,,
IDX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,,,,,,,,,481,,,,,,438,594,,360,,331,,,279,,,233,,,196,184,,,143,
INX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRL,6,5,3,2,4,4,8,4,0,2,0,6,6,4,2,2,5,8,0,2,2,0,3,4,,,3,3,4,1,1,,,
IRN,,,,,,,,,,,,83,,,,,,,30,36,38,38,34,37,25,24,21,20,7,6,7,,,
IRQ,,,,,,,,,,,,,,,263,,,,,,,81,,,,,,,60,,,,,
ISL,,,,,,,,,,,,,,,,,,,,,,,,,,0,22,0,0,0,0,0,0,
ISR,9,6,3,5,7,13,9,6,3,6,6,8,10,9,7,,4,7,5,2,4,3,8,5,5,3,4,1,6,5,3,4,2,
ITA,8,5,4,8,5,9,5,7,4,4,3,4,4,3,3,3,2,3,5,4,2,,2,2,2,3,2,2,2,2,3,,,
JAM,,,88,,,,,,,66,88,75,,,79,63,85,79,90,72,68,95,79,76,126,62,90,77,35,74,,,,
JOR,,,,,,,,,,,,104,,,,,,,,,,,,,49,,,,,,,,,
JPN,16,13,12,9,10,8,9,9,7,6,7,6,7,7,6,7,7,7,6,4,,5,3,4,5,4,4,4,3,3,4,,,
KAZ,46,45,46,49,52,52,47,56,48,49,56,50,53,50,41,40,36,32,25,22,28,32,33,25,,29,19,18,15,9,9,,,
KEN,,,,,,,,,,,,,,888,,,,,557,,,,,,724,,,,,377,,,,
KGZ,42,55,53,52,40,59,53,48,40,37,42,23,56,31,41,39,39,51,50,52,60,58,52,54,62,51,52,46,35,50,39,30,,
KHM,,,,,,,,,,,,,,635,,497,,,,,559,,,548,,226,,,,184,,,,
KIR,,,,,,,76,,226,38,38,38,116,0,39,,,,,,,,,,,,,,,,,,,
KNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOR,16,15,10,10,9,13,14,13,13,12,,,10,10,13,11,13,13,12,12,11,12,10,9,13,,16,19,12,11,9,8,,
KWT,4,5,2,,,,,,3,3,3,7,17,7,7,5,2,7,2,12,4,2,0,9,12,5,10,2,,,,,,
LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAO,,,,,,,,,,,594,,,,,,,,,,407,,,,,,444,,,,217,,,
LBN,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,46
LBR,,,,,,,,,,,,,,,,,,,,,,,1114,495,,,,,949,,,,,
LBY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCA,,25,25,0,25,51,52,0,27,0,0,29,0,0,33,103,36,38,158,163,84,43,,44,0,133,44,45,45,90,,,,
LCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LKA,51,44,,,,,,,,,,20,33,24,17,21,18,17,20,52,165,15,51,48,52,68,34,36,42,36,35,37,37,43
LMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LMY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LSO,,,,,,,,,,,,397,,,,,,,,690,,706,,,954,,,,,649,,,,
LTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTU,23,28,23,19,29,24,21,22,12,15,16,12,15,14,14,9,12,19,3,16,13,0,6,10,0,6,6,9,6,3,10,7,7,
LUX,0,0,23,0,0,21,0,0,0,19,18,0,0,18,0,19,0,0,0,19,19,0,18,18,0,17,0,17,0,0,0,,,
LVA,29,34,42,30,58,25,33,32,28,43,21,18,39,41,41,26,25,5,14,9,5,9,27,9,36,18,0,19,9,10,57,,,
MAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAR,,,,,,,,314,,,,,216,,,,,,343,,,,,,,129,88,,,,,,,
MCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDA,49,34,42,35,33,42,46,50,52,25,38,38,41,28,22,21,35,25,19,21,19,,,,15,40,11,27,14,16,28,17,,
MDG,,,,,,,,,,,,,,,,,,,,621,,,,,504,,,,,,,,,
